epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.0884,0.50693,2.02372,0.91712,0.9953,1,0.995,0.87136,0.48264,1.02946,0.75676,0.00046,0.00046,0.00046
2,9.62814,0.6264,1.05381,0.92564,0.99659,1,0.995,0.88268,0.55154,0.95921,0.76985,0.000933796,0.000933796,0.000933796
3,14.2831,0.67246,0.99973,0.9305,1,0.99525,0.995,0.83912,0.59099,1.04551,0.80472,0.00140126,0.00140126,0.00140126
4,18.8567,0.69388,1.02208,0.96164,0.92518,0.92,0.98474,0.84631,0.56501,1.36191,0.8033,0.00186238,0.00186238,0.00186238
5,23.515,0.76066,1.17402,0.96266,0.91703,0.88431,0.95565,0.7881,0.86805,1.31166,1.03359,0.0019472,0.0019472,0.0019472
6,28.2026,0.66287,0.94423,0.9198,1,0.99937,0.995,0.83194,0.68687,0.98293,0.87734,0.001934,0.001934,0.001934
7,32.8688,0.61526,0.88465,0.91686,0.99659,1,0.995,0.89956,0.4815,0.70497,0.79961,0.0019208,0.0019208,0.0019208
8,37.4559,0.63915,0.88942,0.96629,0.99787,1,0.995,0.93139,0.45862,0.77628,0.7781,0.0019076,0.0019076,0.0019076
9,42.1093,0.55706,0.81773,0.89789,0.9975,1,0.995,0.91565,0.43364,0.67099,0.76871,0.0018944,0.0018944,0.0018944
10,46.7627,0.50887,0.82959,0.89167,0.9974,1,0.995,0.94208,0.39667,0.65669,0.7725,0.0018812,0.0018812,0.0018812
11,51.4957,0.54502,0.75228,0.88264,0.99734,1,0.995,0.90869,0.42311,0.65084,0.80552,0.001868,0.001868,0.001868
12,56.415,0.56286,0.76779,0.95258,0.9974,1,0.995,0.911,0.40506,0.62721,0.8013,0.0018548,0.0018548,0.0018548
13,61.6108,0.49572,0.76359,0.90245,0.99763,1,0.995,0.96382,0.30988,0.63468,0.76002,0.0018416,0.0018416,0.0018416
14,66.8093,0.50123,0.72008,0.89984,0.99781,1,0.995,0.94742,0.36921,0.55535,0.76801,0.0018284,0.0018284,0.0018284
15,71.9824,0.52567,0.64563,0.89879,0.99771,1,0.995,0.93273,0.33688,0.55059,0.75979,0.0018152,0.0018152,0.0018152
16,77.1441,0.47762,0.67197,0.87063,0.99779,1,0.995,0.93791,0.31346,0.4832,0.76329,0.001802,0.001802,0.001802
17,82.1955,0.52704,0.68896,0.93575,0.9979,1,0.995,0.94831,0.30932,0.51368,0.78111,0.0017888,0.0017888,0.0017888
18,87.2259,0.45451,0.61781,0.88135,0.99795,1,0.995,0.94884,0.31002,0.50904,0.78616,0.0017756,0.0017756,0.0017756
19,92.5524,0.51112,0.65652,0.93484,0.99785,1,0.995,0.98189,0.29817,0.51857,0.79814,0.0017624,0.0017624,0.0017624
20,97.9961,0.48428,0.60938,0.9115,0.99785,1,0.995,0.98797,0.29551,0.55359,0.79257,0.0017492,0.0017492,0.0017492
21,103.23,0.44847,0.59856,0.89258,0.99796,1,0.995,0.96559,0.29699,0.45506,0.79526,0.001736,0.001736,0.001736
22,108.883,0.46523,0.59021,0.89424,0.99792,1,0.995,0.97769,0.29598,0.51104,0.7892,0.0017228,0.0017228,0.0017228
23,114.402,0.47421,0.54906,0.89257,0.9979,1,0.995,0.97416,0.29121,0.44986,0.78075,0.0017096,0.0017096,0.0017096
24,119.454,0.48269,0.56876,0.8961,0.99773,1,0.995,0.9611,0.29507,0.50595,0.78259,0.0016964,0.0016964,0.0016964
25,124.483,0.41521,0.60685,0.89575,0.99683,1,0.995,0.98973,0.22652,0.57721,0.78318,0.0016832,0.0016832,0.0016832
26,129.311,0.44141,0.54536,0.88877,0.99774,1,0.995,0.98813,0.2422,0.47232,0.78891,0.00167,0.00167,0.00167
27,134.225,0.45349,0.51395,0.91012,0.99785,1,0.995,0.98521,0.27154,0.42671,0.79685,0.0016568,0.0016568,0.0016568
28,139.116,0.44132,0.50746,0.8883,0.99791,1,0.995,0.97616,0.27276,0.44196,0.79633,0.0016436,0.0016436,0.0016436
29,144.036,0.4603,0.50184,0.91122,0.99789,1,0.995,0.9807,0.23942,0.41641,0.79642,0.0016304,0.0016304,0.0016304
30,149.407,0.39669,0.47048,0.86205,0.99792,1,0.995,0.98019,0.24862,0.39336,0.79768,0.0016172,0.0016172,0.0016172
31,154.987,0.49374,0.5098,0.94577,0.99796,1,0.995,0.98893,0.25549,0.3808,0.81062,0.001604,0.001604,0.001604
32,160.451,0.40483,0.4955,0.89277,0.99798,1,0.995,0.995,0.2329,0.36961,0.80547,0.0015908,0.0015908,0.0015908
33,165.855,0.42143,0.47289,0.90234,0.99797,1,0.995,0.9723,0.25588,0.31784,0.80688,0.0015776,0.0015776,0.0015776
34,171.21,0.38161,0.44066,0.86957,0.99798,1,0.995,0.98989,0.21823,0.30197,0.80005,0.0015644,0.0015644,0.0015644
35,176.61,0.41694,0.4605,0.90233,0.9979,1,0.995,0.98314,0.24475,0.35975,0.80907,0.0015512,0.0015512,0.0015512
36,181.906,0.38215,0.4291,0.85577,0.99791,1,0.995,0.9797,0.24697,0.34119,0.80755,0.001538,0.001538,0.001538
37,187.273,0.46721,0.47025,0.93275,0.99793,1,0.995,0.97731,0.25427,0.32335,0.80588,0.0015248,0.0015248,0.0015248
