epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.08189,0.49574,2.53406,0.92325,0.00334,1,0.995,0.9275,0.34366,2.13963,0.75572,0.00024,0.00024,0.00024
2,5.6464,0.54915,1.14242,0.91407,0.99603,1,0.995,0.877,0.48162,0.81516,0.76867,0.0004967,0.0004967,0.0004967
3,8.19971,0.57171,1.04881,0.87116,0.99612,1,0.995,0.88591,0.52296,0.83376,0.77746,0.000749968,0.000749968,0.000749968
4,10.7148,0.64502,0.9755,0.98771,0.99508,1,0.995,0.9066,0.46233,0.73013,0.77232,0.000999804,0.000999804,0.000999804
5,13.2164,0.6246,0.9733,0.95281,0.99655,1,0.995,0.92763,0.39368,0.77851,0.75613,0.00124621,0.00124621,0.00124621
6,15.7338,0.72255,0.98267,0.99488,0.99761,1,0.995,0.89768,0.57171,0.94484,0.80283,0.00148918,0.00148918,0.00148918
7,18.2426,0.66912,1.02539,0.91165,0.99473,1,0.995,0.88953,0.50679,0.98707,0.78008,0.00172872,0.00172872,0.00172872
8,20.7526,0.72911,1.02366,0.99938,0.99491,1,0.995,0.89605,0.47824,0.93047,0.77471,0.0019076,0.0019076,0.0019076
9,23.2453,0.68293,0.96665,0.96631,0.99491,1,0.995,0.89605,0.47824,0.93047,0.77471,0.0018944,0.0018944,0.0018944
10,25.7459,0.68189,0.89127,0.93058,0.99546,1,0.995,0.87998,0.50566,0.81652,0.78257,0.0018812,0.0018812,0.0018812
11,28.2579,0.64748,0.92602,0.93315,0.99054,1,0.995,0.93337,0.42606,0.80249,0.76784,0.001868,0.001868,0.001868
12,30.7859,0.63012,0.88925,0.90436,0.99695,1,0.995,0.93622,0.39526,0.80956,0.76721,0.0018548,0.0018548,0.0018548
13,33.3136,0.59568,0.85302,0.91278,0.99669,1,0.995,0.90808,0.41961,0.79579,0.77342,0.0018416,0.0018416,0.0018416
14,35.8208,0.69764,0.92612,0.95716,0.99631,1,0.995,0.92554,0.42085,0.8612,0.78371,0.0018284,0.0018284,0.0018284
15,38.3419,0.67375,0.91443,0.996,0.99631,1,0.995,0.92554,0.42085,0.8612,0.78371,0.0018152,0.0018152,0.0018152
16,40.8521,0.58127,0.92211,0.91841,0.99696,1,0.995,0.92833,0.39813,0.75247,0.78515,0.001802,0.001802,0.001802
17,43.3779,0.53986,0.89555,0.8943,0.99672,1,0.995,0.90437,0.40811,0.73718,0.78498,0.0017888,0.0017888,0.0017888
18,45.8908,0.5675,0.84358,0.9146,0.99647,1,0.995,0.89671,0.44635,0.68887,0.79175,0.0017756,0.0017756,0.0017756
19,48.4003,0.63029,0.87715,0.97329,0.99651,1,0.995,0.90785,0.41631,0.68317,0.78558,0.0017624,0.0017624,0.0017624
20,50.9223,0.54453,0.72504,0.91769,0.99651,1,0.995,0.90785,0.41631,0.68317,0.78558,0.0017492,0.0017492,0.0017492
21,53.4501,0.54629,0.74493,0.89953,0.99638,1,0.995,0.93073,0.385,0.62614,0.79705,0.001736,0.001736,0.001736
22,55.9802,0.56287,0.78225,0.92249,0.99647,1,0.995,0.93714,0.36198,0.5597,0.78151,0.0017228,0.0017228,0.0017228
23,58.5283,0.58707,0.83761,0.93536,0.99651,1,0.995,0.94424,0.41151,0.55742,0.78063,0.0017096,0.0017096,0.0017096
24,61.0862,0.63783,0.78296,0.95917,0.99605,1,0.995,0.90403,0.39248,0.63709,0.78044,0.0016964,0.0016964,0.0016964
25,63.5873,0.53176,0.75928,0.91453,0.99605,1,0.995,0.90403,0.39248,0.63709,0.78044,0.0016832,0.0016832,0.0016832
26,66.1188,0.60243,0.74094,0.94193,0.9962,1,0.995,0.96973,0.34619,0.62597,0.77368,0.00167,0.00167,0.00167
