epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.37609,0.30236,2.87589,0.86378,0.00333,1,0.85974,0.8582,0.08626,2.54561,0.68961,4e-05,4e-05,4e-05
2,4.40917,0.35966,2.82108,0.92357,0.00333,1,0.995,0.995,0.12607,2.5255,0.6847,9.901e-05,9.901e-05,9.901e-05
3,5.46584,0.32081,2.02205,0.84981,0.00333,1,0.995,0.995,0.17116,2.34285,0.68078,0.000156832,0.000156832,0.000156832
4,6.52684,0.41198,1.16871,0.87128,0.99587,1,0.995,0.971,0.2368,1.92129,0.69376,0.000213466,0.000213466,0.000213466
5,7.59626,0.40436,1.0093,0.87775,0.99605,1,0.995,0.92232,0.34846,1.24413,0.70746,0.000268912,0.000268912,0.000268912
6,8.65887,0.44768,0.90583,0.88728,0.99774,1,0.995,0.92647,0.3315,0.95173,0.70661,0.00032317,0.00032317,0.00032317
7,9.71687,0.36584,0.92119,0.83007,0.9977,1,0.995,0.9369,0.3538,0.94082,0.7204,0.00037624,0.00037624,0.00037624
8,10.7589,0.41237,0.90134,0.87475,0.99685,1,0.995,0.97083,0.2902,1.1701,0.69671,0.000428122,0.000428122,0.000428122
9,11.807,0.4036,0.90586,0.88947,0.99173,1,0.995,0.97147,0.25823,1.5365,0.69139,0.000478816,0.000478816,0.000478816
10,12.8481,0.43393,0.81823,0.88906,0.99194,1,0.995,0.97149,0.2958,1.38677,0.69854,0.000528322,0.000528322,0.000528322
11,13.8969,0.3766,0.74873,0.85462,0.99545,1,0.995,0.95711,0.30569,1.09499,0.7034,0.00057664,0.00057664,0.00057664
12,14.943,0.42787,0.81824,0.89265,0.9917,1,0.995,0.96686,0.29292,1.52861,0.69615,0.00062377,0.00062377,0.00062377
13,15.9877,0.42018,0.83386,0.896,0.99231,1,0.995,0.94893,0.30988,1.33145,0.70812,0.000669712,0.000669712,0.000669712
14,17.0586,0.43443,0.76491,0.90926,0.99712,1,0.995,0.9353,0.35436,1.21123,0.71019,0.000714466,0.000714466,0.000714466
15,18.096,0.40029,0.71874,0.86188,1,0.98417,0.995,0.9347,0.37206,1.50447,0.72373,0.000758032,0.000758032,0.000758032
16,19.1494,0.42986,0.71849,0.86663,0.99793,1,0.995,0.90098,0.42824,0.97814,0.73993,0.00080041,0.00080041,0.00080041
17,20.1748,0.4201,0.68279,0.86385,0.99827,1,0.995,0.93074,0.36332,0.90474,0.72365,0.0008416,0.0008416,0.0008416
18,21.2027,0.42581,0.67384,0.85662,0.99877,1,0.995,0.98533,0.28547,1.00323,0.70765,0.000881602,0.000881602,0.000881602
19,22.2039,0.42355,0.67009,0.89453,0.99453,1,0.995,0.97243,0.29336,1.01262,0.70256,0.000920416,0.000920416,0.000920416
20,23.2364,0.40574,0.6728,0.89121,0.99349,1,0.995,0.96566,0.29532,0.95939,0.70051,0.000958042,0.000958042,0.000958042
21,24.2673,0.3735,0.64638,0.85155,0.99513,1,0.995,0.95548,0.28699,0.91702,0.7013,0.00099448,0.00099448,0.00099448
22,25.3381,0.37527,0.62225,0.86504,0.99597,1,0.995,0.98719,0.25362,0.79618,0.69571,0.00102973,0.00102973,0.00102973
23,26.3603,0.37201,0.63189,0.86795,0.99664,1,0.995,0.97969,0.27355,0.77398,0.69519,0.00106379,0.00106379,0.00106379
24,27.4072,0.33923,0.62255,0.85297,0.99696,1,0.995,0.9678,0.27723,0.64447,0.69394,0.00109667,0.00109667,0.00109667
25,28.4232,0.3953,0.59967,0.87421,0.99711,1,0.995,0.9636,0.28671,0.6294,0.69403,0.00112835,0.00112835,0.00112835
26,29.4395,0.35225,0.56493,0.85275,0.99654,1,0.995,0.9553,0.29675,0.64042,0.69951,0.00115885,0.00115885,0.00115885
27,30.4737,0.36991,0.58168,0.84224,0.99646,1,0.995,0.96909,0.30481,0.60109,0.70039,0.00118816,0.00118816,0.00118816
28,31.5031,0.41727,0.61901,0.86276,0.99698,1,0.995,0.92784,0.38399,0.53223,0.71222,0.00121628,0.00121628,0.00121628
29,32.5006,0.39253,0.58848,0.85321,0.99709,1,0.995,0.93745,0.345,0.52175,0.71166,0.00124322,0.00124322,0.00124322
30,33.5504,0.3593,0.5515,0.86156,0.9976,1,0.995,0.98845,0.27013,0.41302,0.68893,0.00126896,0.00126896,0.00126896
31,34.5783,0.44487,0.59384,0.89504,0.99755,1,0.995,0.95939,0.31357,0.41564,0.6915,0.00129352,0.00129352,0.00129352
32,35.6152,0.43683,0.59855,0.87302,0.99726,1,0.995,0.95213,0.27061,0.43283,0.68816,0.00131689,0.00131689,0.00131689
