epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.16416,0.53451,2.6174,1.0025,0.00333,1,0.67549,0.62562,0.24921,2.8351,0.7812,8e-05,8e-05,8e-05
2,5.71843,0.54717,2.016,1.01706,0.00333,1,0.995,0.94894,0.29057,2.65638,0.7836,0.000179822,0.000179822,0.000179822
3,7.27914,0.57914,1.15471,0.99585,1,0.51871,0.995,0.92556,0.3904,2.41992,0.81333,0.000279446,0.000279446,0.000279446
4,8.83336,0.54255,1.021,0.95616,0.96347,0.61361,0.97525,0.86433,0.44118,2.52864,0.8747,0.000378871,0.000378871,0.000378871
5,10.4176,0.49542,0.9869,0.94483,1,0.76934,0.99322,0.92769,0.38381,2.42778,0.81631,0.000478099,0.000478099,0.000478099
6,11.9926,0.55966,1.01487,0.97559,0.97201,0.80781,0.97633,0.89989,0.41725,2.30358,0.82048,0.000577129,0.000577129,0.000577129
7,13.5532,0.5347,0.86114,0.95352,0.99513,1,0.995,0.93069,0.39541,1.9452,0.82249,0.000675961,0.000675961,0.000675961
8,15.1111,0.57227,0.93138,0.98697,0.99986,0.93023,0.99318,0.89079,0.46598,1.995,0.85601,0.000774595,0.000774595,0.000774595
9,16.6587,0.60336,0.88597,0.98523,0.99279,0.95349,0.98145,0.8791,0.486,1.93356,0.87615,0.00087303,0.00087303,0.00087303
10,18.2244,0.5801,0.81586,0.97497,0.9534,0.9517,0.98707,0.6443,0.9137,2.02913,1.39668,0.000971268,0.000971268,0.000971268
11,19.7403,0.60428,0.82446,0.97755,0.82072,0.95825,0.93879,0.69281,0.82798,1.84378,1.11855,0.00106931,0.00106931,0.00106931
12,21.2602,0.59904,0.82117,0.97158,0.96837,0.97674,0.99248,0.88346,0.49959,1.20034,0.85784,0.00116715,0.00116715,0.00116715
13,22.7721,0.54424,0.81038,0.96279,0.85994,0.9995,0.92959,0.74594,0.61025,1.17584,0.96328,0.00126479,0.00126479,0.00126479
14,24.3016,0.61841,0.78989,1.00612,0.51205,0.93023,0.65366,0.48477,0.64827,1.98525,1.1327,0.00136224,0.00136224,0.00136224
15,25.8058,0.52806,0.72133,0.95936,0.6085,0.69767,0.70399,0.55486,0.59972,2.37103,0.98373,0.00145949,0.00145949,0.00145949
16,27.3179,0.55256,0.71835,0.96646,0.70621,0.7907,0.86399,0.66444,0.62164,1.75351,1.15529,0.00155654,0.00155654,0.00155654
17,28.8212,0.56078,0.7206,0.96072,0.97126,0.93023,0.96871,0.81815,0.547,0.91134,0.89658,0.00165339,0.00165339,0.00165339
18,30.3251,0.62552,0.71266,0.98855,0.97356,1,0.99409,0.85719,0.58166,0.74516,0.94692,0.00175004,0.00175004,0.00175004
19,31.834,0.62419,0.70958,0.99969,0.95228,0.92819,0.9811,0.84638,0.54702,0.8396,0.87786,0.0018465,0.0018465,0.0018465
20,33.3676,0.59561,0.67879,0.97936,0.45203,0.69767,0.53129,0.34417,1.06271,1.59883,1.2125,0.00194276,0.00194276,0.00194276
21,34.851,0.65081,0.68658,0.98848,0.82481,0.93023,0.94424,0.76627,0.63529,0.94193,0.97017,0.0019604,0.0019604,0.0019604
22,36.3359,0.66085,0.65582,1.01121,0.88798,0.92186,0.96808,0.80558,0.65882,0.8872,0.97924,0.00195842,0.00195842,0.00195842
23,37.8363,0.64085,0.68514,1.01068,0.97404,1,0.99045,0.87489,0.52742,0.69233,0.92238,0.00195644,0.00195644,0.00195644
24,39.3717,0.60857,0.59922,0.98469,0.98891,1,0.995,0.86891,0.5046,0.78703,0.88169,0.00195446,0.00195446,0.00195446
25,40.8917,0.62082,0.58888,0.99655,1,0.95078,0.99239,0.82245,0.66217,0.91945,1.02272,0.00195248,0.00195248,0.00195248
26,42.4576,0.57097,0.56738,0.96695,0.91756,0.77669,0.88114,0.70847,0.80764,0.91006,1.11728,0.0019505,0.0019505,0.0019505
27,43.9586,0.59665,0.58202,0.97099,0.9681,0.86047,0.92063,0.7383,0.7583,0.9978,1.09952,0.00194852,0.00194852,0.00194852
28,45.5027,0.58096,0.53073,0.98149,0.8245,0.90698,0.94148,0.78248,0.6473,1.11224,0.97097,0.00194654,0.00194654,0.00194654
29,47.0005,0.58486,0.5075,0.97242,0.9454,0.97674,0.98396,0.8647,0.51684,0.71609,0.8742,0.00194456,0.00194456,0.00194456
30,48.4991,0.65372,0.56073,0.99848,1,0.97529,0.99455,0.892,0.47793,0.59736,0.87442,0.00194258,0.00194258,0.00194258
31,50.0062,0.60272,0.5362,1.00217,1,0.99942,0.995,0.89208,0.48461,0.56513,0.86684,0.0019406,0.0019406,0.0019406
